,num_source_variables,num_target_variables,max_chain_length,sum_chain_length,chain_strength,chain_break_method,solver,machine,best_sample,best_energy,mean_energy,best_sample_pp,best_energy_pp,mean_energy_pp,vertices,g1_name,g2_name,a,b,start,end
809,16.0,58.0,5.0,58.0,1.7330623668596004,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': -1, 'x[3][0]': 1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': 1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[1][3]': 1, 'x[2][0]': 1, 'x[2][1]': 1, 'x[2][2]': -1, 'x[2][3]': -1}",-0.03999999999999737,22.906560000000002,"{'x[3][1]': 0, 'x[0][0]': 0, 'x[3][0]': 1, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.1894499999999999,4,triangle,segment,1,0.01,2021-06-22 11:55:46.400518,2021-06-22 11:55:51.499353
810,16.0,32.0,3.0,32.0,1.7330623668596004,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': 1, 'x[3][0]': 1, 'x[0][2]': -1, 'x[3][3]': 1, 'x[0][3]': -1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[1][3]': -1, 'x[2][0]': 1, 'x[2][1]': 1, 'x[2][2]': -1, 'x[2][3]': -1}",-0.07999999999999652,22.90566,"{'x[3][1]': 0, 'x[0][0]': 0, 'x[3][0]': 1, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.1905699999999999,4,triangle,segment,1,0.01,2021-06-22 11:55:51.521871,2021-06-22 11:55:57.033529
811,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': -1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': 1, 'x[3][2]': 1, 'x[1][0]': -1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': 1, 'x[2][1]': -1, 'x[2][2]': -1, 'x[2][3]': -1}",24.06,24.06,"{'x[0][0]': 0, 'x[3][1]': 0, 'x[0][1]': 0, 'x[3][0]': 0, 'x[0][2]': 0, 'x[3][3]': 0, 'x[0][3]': 1, 'x[3][2]': 1, 'x[1][0]': 0, 'x[1][1]': 1, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 1, 'x[2][1]': 0, 'x[2][2]': 0, 'x[2][3]': 0}",0.0,0.0,4,triangle,segment,1,0.01,2021-06-22 11:55:57.059551,2021-06-22 11:56:10.401537
812,,,,,,,simulated_annealing,,"{'x[3][1]': 1, 'x[0][0]': 0, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 1, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,,,,,4,triangle,segment,1,0.0005,2021-06-22 11:56:10.434565,2021-06-22 11:56:10.683248
813,16.0,60.0,5.0,60.0,1.7324232195233789,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': 1, 'x[3][1]': -1, 'x[0][1]': 1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': 1, 'x[0][3]': -1, 'x[3][2]': -1, 'x[1][0]': -1, 'x[1][1]': -1, 'x[1][2]': 1, 'x[1][3]': -1, 'x[2][0]': 1, 'x[2][1]': -1, 'x[2][2]': -1, 'x[2][3]': -1}",11.96,23.022850000000002,"{'x[3][1]': 1, 'x[0][0]': 0, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 1, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.15039499999999997,4,triangle,segment,1,0.0005,2021-06-22 11:56:10.704712,2021-06-22 11:56:15.296636
814,16.0,28.0,3.0,28.0,1.7324232195233789,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': -1, 'x[3][0]': 1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': 1, 'x[3][2]': 1, 'x[1][0]': 1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': -1, 'x[2][1]': 1, 'x[2][2]': -1, 'x[2][3]': 1}",-0.01000000000000334,22.751710000000003,"{'x[3][1]': 1, 'x[0][0]': 0, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 1, 'x[1][0]': 1, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.20761499999999994,4,triangle,segment,1,0.0005,2021-06-22 11:56:15.316653,2021-06-22 11:56:20.827158
815,0.0,0.0,0.0,0.0,0.0,,dwave,Leap_Hybrid,"{'x[0][0]': -1, 'x[3][1]': 1, 'x[0][1]': -1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': 1, 'x[3][2]': -1, 'x[1][0]': 1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': -1, 'x[2][1]': -1, 'x[2][2]': 1, 'x[2][3]': -1}",24.03,24.03,"{'x[0][0]': 0, 'x[3][1]': 1, 'x[0][1]': 0, 'x[3][0]': 0, 'x[0][2]': 0, 'x[3][3]': 0, 'x[0][3]': 1, 'x[3][2]': 0, 'x[1][0]': 1, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 0, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.0,4,triangle,segment,1,0.0005,2021-06-22 11:56:20.851676,2021-06-22 11:56:33.639023
816,,,,,,,simulated_annealing,,"{'x[3][1]': 1, 'x[0][0]': 1, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 0, 'x[1][0]': 0, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 1, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,,,,,4,triangle,angle,1,0.1,2021-06-22 11:56:33.693261,2021-06-22 11:56:33.984974
817,16.0,60.0,5.0,60.0,1.7456691178635486,majority_vote,dwave,DW_2000Q_6,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': 1, 'x[3][0]': -1, 'x[0][2]': -1, 'x[3][3]': -1, 'x[0][3]': 1, 'x[3][2]': 1, 'x[1][0]': 1, 'x[1][1]': -1, 'x[1][2]': -1, 'x[1][3]': 1, 'x[2][0]': 1, 'x[2][1]': -1, 'x[2][2]': -1, 'x[2][3]': -1}",-0.20000000000000284,23315,"{'x[3][1]': 1, 'x[0][0]': 1, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 0, 'x[1][0]': 0, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 1, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.2731999999999999,4,triangle,angle,1,0.1,2021-06-22 11:56:34.004492,2021-06-22 11:56:38.644392
818,16.0,27.0,3.0,27.0,1.7456691178635486,majority_vote,dwave,Advantage_system1.1,"{'x[0][0]': -1, 'x[3][1]': -1, 'x[0][1]': -1, 'x[3][0]': -1, 'x[0][2]': 1, 'x[3][3]': -1, 'x[0][3]': -1, 'x[3][2]': 1, 'x[1][0]': 1, 'x[1][1]': 1, 'x[1][2]': -1, 'x[1][3]': -1, 'x[2][0]': -1, 'x[2][1]': 1, 'x[2][2]': -1, 'x[2][3]': 1}",0.20000000000000284,23.8926,"{'x[3][1]': 1, 'x[0][0]': 1, 'x[3][0]': 0, 'x[0][1]': 0, 'x[3][3]': 0, 'x[0][2]': 0, 'x[3][2]': 0, 'x[0][3]': 0, 'x[1][0]': 0, 'x[1][1]': 0, 'x[1][2]': 0, 'x[1][3]': 1, 'x[2][0]': 0, 'x[2][1]': 0, 'x[2][2]': 1, 'x[2][3]': 0}",0.0,0.2809999999999999,4,triangle,angle,1,0.1,2021-06-22 11:56:38.668409,2021-06-22 11:56:44.228195
